[2021-06-22 00:11:22,370] DEBUG    sbp.columniser   	max_vertical_gap=0.01
[2021-06-22 00:11:22,370] DEBUG    sbp.columniser   	max_vertical_gap=0.01
[2021-06-22 00:11:22,370] DEBUG    sbp.columniser   	fuzzyness=0.01
[2021-06-22 00:11:22,370] DEBUG    sbp.columniser   	fuzzyness=0.01
[2021-06-22 00:11:22,370] DEBUG    sbp.columniser   	fuzzyness=0.01
[2021-06-22 00:11:22,370] DEBUG    sbp.clusterer    Configured Clusterer with config:
[2021-06-22 00:11:22,370] DEBUG    sbp.clusterer    Configured Clusterer with config:
[2021-06-22 00:11:22,370] DEBUG    sbp.clusterer    Configured Clusterer with config:
[2021-06-22 00:11:22,370] DEBUG    sbp.clusterer    	Fuzzyness=1.0
[2021-06-22 00:11:22,370] DEBUG    sbp.clusterer    	Fuzzyness=1.0
[2021-06-22 00:11:22,370] DEBUG    sbp.clusterer    	Fuzzyness=1.0
[2021-06-22 00:11:22,370] DEBUG    sbp.clusterer    	Min Gap=0.0
[2021-06-22 00:11:22,370] DEBUG    sbp.clusterer    	Min Gap=0.0
[2021-06-22 00:11:22,370] DEBUG    sbp.clusterer    	Min Gap=0.0
[2021-06-22 00:11:22,370] DEBUG    sbp.clusterer    	Max Gap=1.0
[2021-06-22 00:11:22,370] DEBUG    sbp.clusterer    	Max Gap=1.0
[2021-06-22 00:11:22,370] DEBUG    sbp.clusterer    	Max Gap=1.0
[2021-06-22 00:11:22,370] DEBUG    sbp.clusanno     Configured SectionAnnotator
[2021-06-22 00:11:22,370] DEBUG    sbp.clusanno     Configured SectionAnnotator
[2021-06-22 00:11:22,370] DEBUG    sbp.clusanno     Configured SectionAnnotator
[2021-06-22 00:11:22,371] INFO     sbp.txloader     Retrieving cached result for ..\data\crelvohr\crelvohr.png
[2021-06-22 00:11:22,371] INFO     sbp.txloader     Retrieving cached result for ..\data\crelvohr\crelvohr.png
[2021-06-22 00:11:22,371] INFO     sbp.txloader     Retrieving cached result for ..\data\crelvohr\crelvohr.png
[2021-06-22 00:11:22,393] INFO     sbp              Loaded file ..\data\crelvohr\crelvohr.png
[2021-06-22 00:11:22,393] INFO     sbp              Loaded file ..\data\crelvohr\crelvohr.png
[2021-06-22 00:11:22,393] INFO     sbp              Loaded file ..\data\crelvohr\crelvohr.png
[2021-06-22 00:11:22,393] INFO     sbp              Loading ..\data\crelvohr\crelvohr.png
[2021-06-22 00:11:22,393] INFO     sbp              Loading ..\data\crelvohr\crelvohr.png
[2021-06-22 00:11:22,393] INFO     sbp              Loading ..\data\crelvohr\crelvohr.png
[2021-06-22 00:11:22,393] DEBUG    sbp.columniser   Received 103 lines
[2021-06-22 00:11:22,393] DEBUG    sbp.columniser   Received 103 lines
[2021-06-22 00:11:22,393] DEBUG    sbp.columniser   Received 103 lines
[2021-06-22 00:11:22,394] DEBUG    sbp.columniser   Initial pass found 5 columns
[2021-06-22 00:11:22,394] DEBUG    sbp.columniser   Initial pass found 5 columns
[2021-06-22 00:11:22,394] DEBUG    sbp.columniser   Initial pass found 5 columns
[2021-06-22 00:11:22,394] DEBUG    sbp.columniser   	Col 0: Length 43
[2021-06-22 00:11:22,394] DEBUG    sbp.columniser   	Col 0: Length 43
[2021-06-22 00:11:22,394] DEBUG    sbp.columniser   	Col 0: Length 43
[2021-06-22 00:11:22,394] DEBUG    sbp.columniser   	Col 1: Length 3
